screen_accession	screen_row_id	MORF_id	reason	detail	source_transcript_ids	log2FoldChange
IGVFFI6032GREJ	HELZ2_2	HELZ2_2	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001037335,ENST00000467148
IGVFFI6032GREJ	HIVEP1_1	HIVEP1_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	XM_011514551,XM_011514552,NM_002114,XM_011514553,ENST00000379388
IGVFFI6032GREJ	HIVEP2_1	HIVEP2_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_006734,XM_017010805,ENST00000367603,ENST00000012134,ENST00000367604
IGVFFI6032GREJ	HSF2_3	HSF2_3	no_transcript	No supplied ENST and no GENCODE v43 RefSeq RNA cross-reference yielding a Catalog transcript.	NM_001243094.1	0.11403157233881
IGVFFI6032GREJ	HSFY2_3	HSFY2_3	no_transcript	No supplied ENST and no GENCODE v43 RefSeq RNA cross-reference yielding a Catalog transcript.	XM_017030031.1	0.205677560207491
IGVFFI6032GREJ	KDM5A_1	KDM5A_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001042603,ENST00000399788
IGVFFI6032GREJ	mCherry_1	mCherry_1	control_construct	GFP/mCherry control; intentionally not adapted.
IGVFFI6032GREJ	MYT1L_2	MYT1L_2	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001303052,XM_017003609,XM_017003610,ENST00000399161
IGVFFI6032GREJ	NCL_1	NCL_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_005381,ENST00000322723
IGVFFI6032GREJ	NCOA3_3	NCOA3_3	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_006534.3
IGVFFI6032GREJ	NCOA6_2	NCOA6_2	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_014071,NM_001318240,ENST00000374796,ENST00000359003
IGVFFI6032GREJ	NCOR1_1	NCOR1_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_006311,ENST00000268712
IGVFFI6032GREJ	NCOR2_2	NCOR2_2	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001077261,ENST00000404621
IGVFFI6032GREJ	NF1_2	NF1_2	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001042492,ENST00000358273
IGVFFI6032GREJ	NF1_3	NF1_3	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_000267,ENST00000356175
IGVFFI6032GREJ	NKRF_2	NKRF_2	no_transcript	No supplied ENST and no GENCODE v43 RefSeq RNA cross-reference yielding a Catalog transcript.	NM_001173488.1	2.02279917353882
IGVFFI6032GREJ	NOTCH2_1	NOTCH2_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_024408.3
IGVFFI6032GREJ	NR2C2_2	NR2C2_2	no_transcript	No supplied ENST and no GENCODE v43 RefSeq RNA cross-reference yielding a Catalog transcript.	XM_011534061.2	-0.190101722078566
IGVFFI6032GREJ	NR2C2_4	NR2C2_4	no_transcript	No supplied ENST and no GENCODE v43 RefSeq RNA cross-reference yielding a Catalog transcript.	XM_011534061.2	-1.22482662433468
IGVFFI6032GREJ	PBRM1_4	PBRM1_4	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	XM_017006758,XM_017006757,ENST00000409057
IGVFFI6032GREJ	PBX3_5	PBX3_5	no_transcript	No supplied ENST and no GENCODE v43 RefSeq RNA cross-reference yielding a Catalog transcript.	XM_006717133.1	0.0188398869181885
IGVFFI6032GREJ	POU2F1_4	POU2F1_4	no_transcript	No supplied ENST and no GENCODE v43 RefSeq RNA cross-reference yielding a Catalog transcript.	XM_011509654.2	-0.778354352434766
IGVFFI6032GREJ	POU6F1_2	POU6F1_2	no_transcript	No supplied ENST and no GENCODE v43 RefSeq RNA cross-reference yielding a Catalog transcript.	XM_017019524.1	0.291407485081141
IGVFFI6032GREJ	RBAK_1	RBAK_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_021163.3
IGVFFI6032GREJ	SP140_1	SP140_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001278452,ENST00000343805
IGVFFI6032GREJ	SP140_2	SP140_2	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_007237,ENST00000392045
